,State,Total,Native American Number,Native American Percent,Asian Number,Asian Percent,Hispanic Number,Hispanic Percent,Black Number,Black Percent,White Number,White Percent,Pacific Islander Number,Pacific Islander Percent,Multiracial Number,Multiracial Percent,Total AP,Native American Number AP,Native American Percent AP,Asian Number AP,Asian Percent AP,Hispanic Number AP,Hispanic Percent AP,Black Number AP,Black Percent AP,White Number AP,White Percent AP,Pacific Islander Number AP,Pacific Islander Percent AP,Multiracial Number AP,Multiracial Percent AP,Native American Participation Ratio,Asian Participation Ratio,Hispanic Participation Ratio,Black Participation Ratio,White Participation Ratio,Pacific Islander Participation Ratio,Multiracial Participation Ratio
0,United States,50452567,524730,1.04,2498587,4.9523,13028012,25.8223,7790757,15.4417,24669418,48.8963,194667,0.3858,1746396,3.4615,2076445,8719,0.4199,248509,11.968,421915,20.3191,181286,8.7306,1154805,55.6145,5084,0.2448,56127,2.70303,0.40375,2.416654887627971,0.7868818811647297,0.5653911162631058,1.1373968991518786,0.6345256609642301,0.7808840098223314
1,Alabama,745128,8421,1.1301,10704,1.4365,50219,6.7396,249341,33.4628,413551,55.5007,814,0.1092,12078,1.6209,25317,216,0.85318,1111,4.3884,790,3.1204,5269,20.8121,17615,69.5778,22,0.0869,294,1.1612750325868,0.7549597380762764,3.054925165332405,0.4629948364888124,0.6219473564674803,1.253638242400546,0.7957875457875458,0.7164384185247702
2,Alaska,131895,30910,23.4353,7827,5.9343,8802,6.6735,4146,3.1434,62891,47.6826,3587,2.7196,13732,10.4113,3003,180,5.994005994006,296,9.8568,190,6.327,60,1.998001998002,2000,66.6001,35,1.1655,242,8.05861,0.2557682638586235,1.6609878165916787,0.9480782198246798,0.6356181198708405,1.3967380134472531,0.4285556699514635,0.7740253378540624
3,Arizona,1132436,53711,4.743,32021,2.8276,504224,44.5256,60131,5.3099,448389,39.5951,3717,0.3282,30243,2.6706,34214,571,1.6689074647805,2966,8.669,10959,32.030747647162,1077,3.1478,17832,52.119015607646,66,0.1929034897995,743,2.17163,0.35186748150548175,3.0658508982883013,0.7193782373996533,0.5928171905308952,1.3162996332285055,0.5877620042641682,0.8131618362914701
4,Arkansas,484562,3160,0.6521,7662,1.5812,59618,12.3035,98302,20.2868,300901,62.0975,3508,0.724,11411,2.3549,27753,159,0.57291,935,3.369,2930,10.5574,3886,14.0021,19421,69.978,55,0.1982,367,1.32238,0.878561570311302,2.1306602580318748,0.8580810338521558,0.6902074255180709,1.1269052699384032,0.27375690607734804,0.561544014607839
5,California,6270442,36478,0.5817,694622,11.0777,3382657,53.9461,364791,5.8176,1509071,24.0664,39575,0.6311,243248,3.8793,310992,946,0.30419,74940,24.097082883161,123700,39.7759,10041,3.2287,90222,29.011,1569,0.5045145855842,9574,3.07854,0.5229327832215919,2.1752785220001445,0.7373267020229451,0.5549883113311331,1.205456570155902,0.7994209880909524,0.7935813162168431
6,Colorado,899633,6446,0.7165,27852,3.0959,300269,33.3768,41622,4.6266,486820,54.1132,2088,0.2321,34536,3.8389,40370,173,0.42854,2544,6.3017,7644,18.9349,1345,3.3317,26975,66.8194,101,0.2502,1588,3.93361,0.5981018841591067,2.035498562615072,0.567307231370293,0.7201184455107423,1.2348077733344176,1.0779836277466608,1.0246711297507098
7,Connecticut,536100,1534,0.2861,26763,4.9922,123335,23.006,68828,12.8386,299994,55.9586,577,0.1076,15069,2.8109,27301,48,0.17582,2534,9.2817,2373,8.692,1796,6.5785,20013,73.305,10,0.0366286949196,527,1.93033,0.6145403704998252,1.859240415047474,0.3778144831783013,0.5124001059305532,1.3099863113087178,0.34041538029368024,0.6867302287523569
8,Delaware,138933,547,0.3937,5111,3.6788,22073,15.8875,43341,31.1956,63438,45.6609,457,0.3289,3966,2.8546,5049,22,0.43573,505,10.002,374,7.4074,877,17.3698,3205,63.4779,4,0.0792,62,1.22797,1.1067564135128272,2.7188213547896054,0.4662407553107789,0.5568028824577825,1.390202558425261,0.2408026755852843,0.43017235339452115
9,District of Columbia,82338,149,0.181,1211,1.4708,12720,15.4485,58140,70.6114,8447,10.2589,93,0.1129,1578,1.9165,3735,6,0.16064,122,3.2664,703,18.822,2259,60.4819,543,14.5382,6,0.1606,96,2.57028,0.8875138121546962,2.2208322001631764,1.2183707156034567,0.8565458268778129,1.4171304915731706,1.4224977856510186,1.3411322723715104
10,Florida,2779864,8986,0.3233,73343,2.6384,878679,31.6087,627175,22.5614,1094132,39.3592,4226,0.152,93323,3.3571,172947,580,0.33536,10448,6.0412,51914,30.0173,21019,12.1534,83418,48.2333,219,0.1266,5349,3.09286,1.0373028147231673,2.289721043056398,0.9496531018358869,0.5386811102147916,1.225464440334153,0.8328947368421052,0.9212892079473355
11,Georgia,1766719,3576,0.2024,66482,3.763,256641,14.5264,653610,36.9957,724454,41.0056,1975,0.1118,59981,3.3951,84295,155,0.18388,9422,11.1774,8613,10.2177,18985,22.5221,44498,52.7884,61,0.0724,2561,3.03814,0.908498023715415,2.9703428115865003,0.7033883136909351,0.6087761550666698,1.287346118578926,0.6475849731663685,0.8948602397572973
12,Hawaii,182711,571,0.3125,55123,30.1695,22006,12.0442,3532,1.9331,23415,12.8153,55643,30.4541,22421,12.2713,5805,23,0.39621,3136,54.0224,320,5.5125,105,1.8088,989,17.037037037037,733,12.627,499,8.59604,1.267872,1.7906296093737053,0.4576891781936534,0.935699136102633,1.329429434897115,0.4146239750969492,0.700499539576084
13,Idaho,295971,4279,1.4457,3735,1.2619,50932,17.2084,3184,1.0758,224956,76.0061,1036,0.35,7849,2.6519,7287,40,0.54892,256,3.5131055303966,962,13.2016,65,0.892,5786,79.4017,18,0.247,160,2.19569,0.379691498927855,2.783980925902686,0.7671602240766137,0.8291503997025469,1.0446753615828204,0.7057142857142857,0.8279686262679589
14,Illinois,2020480,5804,0.2873,96244,4.7634,516994,25.5877,350020,17.3236,983647,48.6838,2204,0.1091,65567,3.2451,94088,198,0.21044,10866,11.548762860301,20594,21.888,8682,9.2275,50981,54.1844,93,0.0988,2674,2.84202,0.7324747650539505,2.424478914284125,0.8554109982530669,0.5326548754300492,1.1129862500462167,0.9055912007332722,0.8757881113062772
15,Indiana,1032579,2245,0.2174,22232,2.1531,114107,11.0507,126396,12.2408,718922,69.6239,752,0.0728,47925,4.6413,40307,66,0.16374,1869,4.6369,2731,6.7755,2108,5.2299,32198,79.8819,15,0.0372,1320,3.27487,0.7531738730450781,2.1535924945427523,0.613128580089949,0.42725148683092606,1.1473344641710677,0.510989010989011,0.7055932605089091
16,Iowa,501375,1912,0.3814,12066,2.4066,51271,10.2261,28521,5.6886,388850,77.5567,1104,0.2202,17651,3.5205,9982,9,0.09016,670,6.7121,752,7.5336,333,3.336,7904,79.1825,13,0.1302,301,3.01543,0.23639223911903515,2.789038477520153,0.7367031419602781,0.586436029954646,1.0209627279139004,0.5912806539509537,0.8565345831558017
